coluna,tipo,pct_na,n_unicos,constante,ano
p.cod_ibge_munic_escola_memb,float64,66.92,1139,False,2025
p.cod_curso_frequenta_memb,float64,66.9,14,False,2025
p.nom_escola_memb,str,66.9,16842,False,2025
p.cod_afastado_trab_memb,float64,53.74,2,False,2025
p.cod_concluiu_frequentou_memb,float64,51.32,2,False,2025
p.cod_ano_serie_frequentou_memb,float64,51.32,10,False,2025
d.cod_cta_energ_unid_consum_fam,object,49.8,332734,False,2025
p.cod_curso_frequentou_pessoa_memb,float64,48.71,15,False,2025
d.nom_estab_assist_saude_fam,str,47.52,1130,False,2025
d.cod_eas_fam,float64,47.52,1130,False,2025
p.cod_trabalhou_memb,float64,30.05,2,False,2025
p.cod_trabalho_12_meses_memb,float64,30.05,2,False,2025
p.nom_munic_certid_pessoa,str,22.02,3081,False,2025
p.cod_ibge_munic_certid_pessoa,float64,21.4,3210,False,2025
d.qtd_pessoa_inter_65_anos_fam,float64,15.84,23,False,2025
d.qtd_pessoa_inter_0_17_anos_fam,float64,15.81,19,False,2025
d.qtd_pessoa_inter_18_64_anos_fam,float64,15.81,20,False,2025
d.val_desp_transpor_fam,float64,13.94,321,False,2025
d.val_desp_medicamentos_fam,float64,13.0,665,False,2025
d.val_desp_aluguel_fam,float64,12.22,566,False,2025
d.cod_escoa_sanitario_domic_fam,float64,9.7,6,False,2025
p.grau_instrucao,float64,9.1,6,False,2025
d.val_desp_agua_esgoto_fam,float64,7.48,640,False,2025
d.cod_agua_canalizada_fam,float64,5.61,2,False,2025
d.cod_banheiro_domic_fam,float64,5.61,2,False,2025
d.cod_calcamento_domic_fam,float64,5.61,3,False,2025
d.cod_abaste_agua_domic_fam,float64,5.61,4,False,2025
d.cod_destino_lixo_domic_fam,float64,5.61,6,False,2025
d.cod_iluminacao_domic_fam,float64,5.61,6,False,2025
d.cod_material_piso_fam,float64,5.61,7,False,2025
d.cod_material_domic_fam,float64,5.61,8,False,2025
d.qtd_comodos_dormitorio_fam,float64,5.61,35,False,2025
d.qtd_comodos_domic_fam,float64,5.61,65,False,2025
d.val_desp_energia_fam,float64,1.94,1067,False,2025
d.val_desp_gas_fam,float64,1.23,371,False,2025
d.val_desp_alimentacao_fam,float64,0.66,1810,False,2025
d.qtd_familias_domic_fam,float64,0.39,38,False,2025
d.qtd_pessoas_domic_fam,float64,0.39,59,False,2025
p.cod_parentesco_rf_pessoa,float64,0.21,11,False,2025
d.cod_local_domic_fam,float64,0.14,2,False,2025
d.cod_especie_domic_fam,float64,0.14,3,False,2025
p.sig_uf_munic_nasc_pessoa,str,0.04,27,False,2025
p.nom_ibge_munic_nasc_pessoa,str,0.04,3381,False,2025
p.cod_ibge_munic_nasc_pessoa,float64,0.04,3526,False,2025
p.cod_raca_cor_pessoa,float64,0.01,5,False,2025
d.ind_parc_mds_fam,float64,0.01,14,False,2025
d.dta_entrevista_fam,str,0.01,2508,False,2025
d.marc_pbf,int64,0.0,1,True,2025
p.marc_pab,int64,0.0,1,True,2025
ano,int64,0.0,1,True,2025
d.cod_est_cadastral_fam,int64,0.0,2,False,2025
d.cod_familia_indigena_fam,int64,0.0,2,False,2025
d.ind_familia_quilombola_fam,int64,0.0,2,False,2025
p.cod_est_cadastral_memb,int64,0.0,2,False,2025
p.ind_trabalho_infantil_pessoa,int64,0.0,2,False,2025
